"rep","method","rG","r12","r13","r23","rI1","rI2","rI3","eG","e12","e13","e23","eI1","eI2","eI3","time","error"
52,"PPD",4,1,1,4,0,0,3,0.142658009998722,0.193202809268154,0.0460253112778514,0.220707200100785,1,1,0.0662625210667027,599.759,NA
52,"BIDIFAC+",4,1,5,7,2,1,12,0.23957323918181,0.0384173491861492,0.622885278813636,0.115181495828465,0.399168677857592,0.999426815460388,0.169775134916854,2149.752,NA
53,"PPD",4,1,1,3,0,1,4,0.381781642020065,0.945464968050935,0.293614004744011,0.198821974692033,1,0.867526339778926,0.068321860002186,598.169000000001,NA
53,"BIDIFAC+",4,1,4,8,1,1,12,0.209676948244477,0.0379120044146253,0.483233089590457,0.10285562257246,0.384816744121602,0.999135165252798,0.177531685798632,1627.562,NA
54,"PPD",4,1,1,3,0,1,4,0.170406388162997,0.27971866836022,0.124785499404272,0.176838554791376,1,0.834113931062382,0.0520973141474716,600.102000000001,NA
54,"BIDIFAC+",3,1,5,7,1,1,12,0.223180058737906,0.0355746548797269,0.570672918874719,0.114363599759938,0.35698339704506,0.999214289573204,0.170660873978703,1453.173,NA
55,"PPD",4,1,1,3,0,1,4,0.204368833587866,0.415673991527994,0.0419796701685264,0.233172998471205,1,0.941225764777425,0.0582581281532843,821.047,NA
55,"BIDIFAC+",5,1,4,7,1,1,12,0.229120820705887,0.0382663503520687,0.564492198761622,0.105530659922721,0.359072377073687,0.99925688959092,0.175916223717979,2357.418,NA
56,"PPD",4,1,1,3,0,1,4,0.268460212335536,0.597028222736233,0.144862683004365,0.182974789365054,1,0.823903840845592,0.0563186594419684,607.65,NA
56,"BIDIFAC+",3,1,5,8,1,1,12,0.21398050739423,0.0360001000442738,0.498284133056752,0.107265763894012,0.363624320819636,0.999591035647592,0.174986341128722,1515.971,NA
57,"PPD",4,1,1,2,0,2,5,0.197499314587392,0.371453701798335,0.100583787070287,0.0817869273435734,1,0.426389404574974,0.0241757380845303,601.139,NA
57,"BIDIFAC+",4,1,5,8,2,1,12,0.225562005938092,0.0385550893471909,0.571795504504523,0.105457364892002,0.38050510376761,0.999586137245436,0.180022743791131,1640.358,NA
