"rep","d","ang","ang_deg","method","rJ","rI1","rI2","eJ1","eJ2","eI1","eI2","time","error"
100,0.1,0,0,"PPD",1,5,8,0.937241127795699,0.938157616667524,3.40971740253714,2.03930766327172,134.574,NA
1,0.25,0,0,"PPD",4,2,5,0.759104263311381,0.328223684717803,0.939783160510382,0.211713779752554,131.501,NA
2,0.25,0,0,"PPD",4,2,5,0.739324659165382,0.319865656764742,0.941825047269549,0.21801475887041,127.425,NA
3,0.25,0,0,"PPD",4,2,5,0.737154920650735,0.326437695486267,0.933488119363747,0.210258506240505,196.544,NA
4,0.25,0,0,"PPD",4,2,5,0.729006241710499,0.332488893814543,0.934130628955564,0.21559981362345,129.112,NA
5,0.25,0,0,"PPD",4,2,5,0.737818248489986,0.323089965477878,0.926499909372695,0.219247084093492,142.754,NA
6,0.25,0,0,"PPD",4,2,5,0.742402670314888,0.327422152818295,0.94468905112713,0.213594350781665,205.13,NA
7,0.25,0,0,"PPD",4,2,5,0.760482129433029,0.329986947546002,0.934306054559151,0.210453307293357,158.16,NA
8,0.25,0,0,"PPD",4,2,5,0.750519081828899,0.315269383597301,0.936231038586262,0.212901598778968,190.519,NA
9,0.25,0,0,"PPD",4,2,5,0.757018910833223,0.310975592181196,0.946745099820505,0.211010903911631,119.107,NA
10,0.25,0,0,"PPD",4,2,5,0.74554050418025,0.316870030560237,0.946666841366772,0.212819729147752,164.343,NA
11,0.25,0,0,"PPD",4,2,5,0.751590819831253,0.318899422986245,0.943257498721687,0.218195022130796,124.921,NA
12,0.25,0,0,"PPD",5,6,4,0.875579188811148,0.468582677942438,1.17737624039259,0.21351147870925,146.7,NA
13,0.25,0,0,"PPD",4,2,5,0.743234377827042,0.325372621685618,0.932357128491491,0.217667617993334,204.692,NA
14,0.25,0,0,"PPD",4,2,5,0.737780258712446,0.325044540291842,0.937924583778008,0.213483986984031,181.915,NA
15,0.25,0,0,"PPD",4,2,5,0.746188128081069,0.319400001457068,0.930036856903852,0.215337387682194,115.699,NA
16,0.25,0,0,"PPD",4,2,5,0.764769025705486,0.320678769548715,0.934958228317455,0.208590244039578,202.358,NA
17,0.25,0,0,"PPD",4,2,5,0.758830520408839,0.326487472904856,0.93379190923575,0.211107315952919,203.204,NA
18,0.25,0,0,"PPD",4,2,5,0.739399585181387,0.32027215139463,0.935347491615209,0.215326220618935,204.751,NA
